time,cost,duration
0,0.34116,54000
54000,0.39784,3600
57600,0.55972,18000
75600,0.39784,10800
86400,0.34116,54000
140400,0.39784,3600
144000,0.55972,18000
162000,0.39784,10800
172800,0.34116,54000
226800,0.39784,3600
230400,0.55972,18000
248400,0.39784,10800
259200,0.34116,54000
313200,0.39784,3600
316800,0.55972,18000
334800,0.39784,10800
345600,0.34116,54000
399600,0.39784,3600
403200,0.55972,18000
421200,0.39784,10800
432000,0.34116,54000
486000,0.39784,3600
489600,0.55972,18000
507600,0.39784,10800
518400,0.34116,54000
572400,0.39784,3600
576000,0.55972,18000
594000,0.39784,10800
604800,0.34116,54000
658800,0.39784,3600
662400,0.55972,18000
680400,0.39784,10800
691200,0.34116,54000
745200,0.39784,3600
748800,0.55972,18000
766800,0.39784,10800
777600,0.34116,54000
831600,0.39784,3600
835200,0.55972,18000
853200,0.39784,10800
864000,0.34116,54000
918000,0.39784,3600
921600,0.55972,18000
939600,0.39784,10800
950400,0.34116,54000
1004400,0.39784,3600
1008000,0.55972,18000
1026000,0.39784,10800
1036800,0.34116,54000
1090800,0.39784,3600
1094400,0.55972,18000
1112400,0.39784,10800
1123200,0.34116,54000
1177200,0.39784,3600
1180800,0.55972,18000
1198800,0.39784,10800
1209600,0.34116,54000
1263600,0.39784,3600
1267200,0.55972,18000
1285200,0.39784,10800
1296000,0.34116,54000
1350000,0.39784,3600
1353600,0.55972,18000
1371600,0.39784,10800
1382400,0.34116,54000
1436400,0.39784,3600
1440000,0.55972,18000
1458000,0.39784,10800
1468800,0.34116,54000
1522800,0.39784,3600
1526400,0.55972,18000
1544400,0.39784,10800
1555200,0.34116,54000
1609200,0.39784,3600
1612800,0.55972,18000
1630800,0.39784,10800
1641600,0.34116,54000
1695600,0.39784,3600
1699200,0.55972,18000
1717200,0.39784,10800
1728000,0.34116,54000
1782000,0.39784,3600
1785600,0.55972,18000
1803600,0.39784,10800
1814400,0.34116,54000
1868400,0.39784,3600
1872000,0.55972,18000
1890000,0.39784,10800
1900800,0.34116,54000
1954800,0.39784,3600
1958400,0.55972,18000
1976400,0.39784,10800
1987200,0.34116,54000
2041200,0.39784,3600
2044800,0.55972,18000
2062800,0.39784,10800
2073600,0.34116,54000
2127600,0.39784,3600
2131200,0.55972,18000
2149200,0.39784,10800
2160000,0.34116,54000
2214000,0.39784,3600
2217600,0.55972,18000
2235600,0.39784,10800
2246400,0.34116,54000
2300400,0.39784,3600
2304000,0.55972,18000
2322000,0.39784,10800
2332800,0.34116,54000
2386800,0.39784,3600
2390400,0.55972,18000
2408400,0.39784,10800
2419200,0.34116,54000
2473200,0.39784,3600
2476800,0.55972,18000
2494800,0.39784,10800
2505600,0.34116,54000
2559600,0.39784,3600
2563200,0.55972,18000
2581200,0.39784,10800
2592000,0.34116,54000
2646000,0.39784,3600
2649600,0.55972,18000
2667600,0.39784,10800
2678400,0.34116,54000
2732400,0.39784,3600
2736000,0.55972,18000
2754000,0.39784,10800
2764800,0.34116,54000
2818800,0.39784,3600
2822400,0.55972,18000
2840400,0.39784,10800
2851200,0.34116,54000
2905200,0.39784,3600
2908800,0.55972,18000
2926800,0.39784,10800
2937600,0.34116,54000
2991600,0.39784,3600
2995200,0.55972,18000
3013200,0.39784,10800
3024000,0.34116,54000
3078000,0.39784,3600
3081600,0.55972,18000
3099600,0.39784,10800
3110400,0.34116,54000
3164400,0.39784,3600
3168000,0.55972,18000
3186000,0.39784,10800
3196800,0.34116,54000
3250800,0.39784,3600
3254400,0.55972,18000
3272400,0.39784,10800
3283200,0.34116,54000
3337200,0.39784,3600
3340800,0.55972,18000
3358800,0.39784,10800
3369600,0.34116,54000
3423600,0.39784,3600
3427200,0.55972,18000
3445200,0.39784,10800
3456000,0.34116,54000
3510000,0.39784,3600
3513600,0.55972,18000
3531600,0.39784,10800
3542400,0.34116,54000
3596400,0.39784,3600
3600000,0.55972,18000
3618000,0.39784,10800
3628800,0.34116,54000
3682800,0.39784,3600
3686400,0.55972,18000
3704400,0.39784,10800
3715200,0.34116,54000
3769200,0.39784,3600
3772800,0.55972,18000
3790800,0.39784,10800
3801600,0.34116,54000
3855600,0.39784,3600
3859200,0.55972,18000
3877200,0.39784,10800
3888000,0.34116,54000
3942000,0.39784,3600
3945600,0.55972,18000
3963600,0.39784,10800
3974400,0.34116,54000
4028400,0.39784,3600
4032000,0.55972,18000
4050000,0.39784,10800
4060800,0.34116,54000
4114800,0.39784,3600
4118400,0.55972,18000
4136400,0.39784,10800
4147200,0.34116,54000
4201200,0.39784,3600
4204800,0.55972,18000
4222800,0.39784,10800
4233600,0.34116,54000
4287600,0.39784,3600
4291200,0.55972,18000
4309200,0.39784,10800
4320000,0.34116,54000
4374000,0.39784,3600
4377600,0.55972,18000
4395600,0.39784,10800
4406400,0.34116,54000
4460400,0.39784,3600
4464000,0.55972,18000
4482000,0.39784,10800
4492800,0.34116,54000
4546800,0.39784,3600
4550400,0.55972,18000
4568400,0.39784,10800
4579200,0.34116,54000
4633200,0.39784,3600
4636800,0.55972,18000
4654800,0.39784,10800
4665600,0.34116,54000
4719600,0.39784,3600
4723200,0.55972,18000
4741200,0.39784,10800
4752000,0.34116,54000
4806000,0.39784,3600
4809600,0.55972,18000
4827600,0.39784,10800
4838400,0.34116,54000
4892400,0.39784,3600
4896000,0.55972,18000
4914000,0.39784,10800
4924800,0.34116,54000
4978800,0.39784,3600
4982400,0.55972,18000
5000400,0.39784,10800
5011200,0.34116,54000
5065200,0.39784,3600
5068800,0.55972,18000
5086800,0.39784,10800
5097600,0.34116,54000
5151600,0.39784,3600
5155200,0.55972,18000
5173200,0.39784,10800